event;start_time;completion_time;arrival<incoming>;arrival<outgoing>;q1<incoming>;q1<outgoing>;r1<incoming>;r1<outgoing>
transportation;836.13;836.13;;;{'job': 136};;{'truck_id': 1, 'loading': False};{'truck_id': 1, 'loading': False}
transportation;836.13;836.13;;;{'job': 137};;{'truck_id': 1, 'loading': False};{'truck_id': 1, 'loading': False}
transportation;836.13;836.13;;;{'job': 138};;{'truck_id': 1, 'loading': False};{'truck_id': 1, 'loading': False}
transportation;836.13;836.13;;;{'job': 139};;{'truck_id': 1, 'loading': False};{'truck_id': 1, 'loading': False}
transportation;836.13;856.13;;;{'job': 140};;{'truck_id': 1, 'loading': False};{'truck_id': 1, 'loading': False}
job_arrival;852.87;853.68;{'job': 142};{'job': 143};;{'job': 142};;
job_arrival;853.68;857.79;{'job': 143};{'job': 144};;{'job': 143};;
job_arrival;857.79;867.98;{'job': 144};{'job': 145};;{'job': 144};;
job_arrival;867.98;868.72;{'job': 145};{'job': 146};;{'job': 145};;
job_arrival;868.72;870.57;{'job': 146};{'job': 147};;{'job': 146};;
job_arrival;870.57;885.45;{'job': 147};{'job': 148};;{'job': 147};;
transportation;870.57;870.57;;;{'job': 141};;{'truck_id': 1, 'loading': False};{'truck_id': 1, 'loading': False}
transportation;870.57;870.57;;;{'job': 142};;{'truck_id': 1, 'loading': False};{'truck_id': 1, 'loading': False}
transportation;870.57;870.57;;;{'job': 143};;{'truck_id': 1, 'loading': False};{'truck_id': 1, 'loading': False}
