event;start_time;completion_time;arrival<incoming>;arrival<outgoing>;q1<incoming>;q1<outgoing>;r1<incoming>;r1<outgoing>;r2<incoming>;r2<outgoing>
processing;784.4;787.62;;;{'job': 96};;;;{'machine_id': 2};{'machine_id': 2}
processing;787.62;801.46;;;{'job': 97};;;;{'machine_id': 2};{'machine_id': 2}
pre_processing;789.29;794.29;{'job': 101};{'job': 102};;{'job': 101};{'machine_id': 1};{'machine_id': 1};;
pre_processing;794.29;799.29;{'job': 102};{'job': 103};;{'job': 102};{'machine_id': 1};{'machine_id': 1};;
processing;801.46;808.61;;;{'job': 98};;;;{'machine_id': 2};{'machine_id': 2}
pre_processing;801.46;806.46;{'job': 103};{'job': 104};;{'job': 103};{'machine_id': 1};{'machine_id': 1};;
processing;808.61;812.93;;;{'job': 99};;;;{'machine_id': 2};{'machine_id': 2}
pre_processing;808.61;813.61;{'job': 104};{'job': 105};;{'job': 104};{'machine_id': 1};{'machine_id': 1};;
processing;812.93;819.07;;;{'job': 100};;;;{'machine_id': 2};{'machine_id': 2}
pre_processing;813.61;818.61;{'job': 105};{'job': 106};;{'job': 105};{'machine_id': 1};{'machine_id': 1};;
processing;819.07;841.46;;;{'job': 101};;;;{'machine_id': 2};{'machine_id': 2}
pre_processing;819.07;824.07;{'job': 106};{'job': 107};;{'job': 106};{'machine_id': 1};{'machine_id': 1};;
processing;841.46;861.63;;;{'job': 102};;;;{'machine_id': 2};{'machine_id': 2}
pre_processing;841.46;846.46;{'job': 107};{'job': 108};;{'job': 107};{'machine_id': 1};{'machine_id': 1};;
processing;861.63;879.96;;;{'job': 103};;;;{'machine_id': 2};{'machine_id': 2}
pre_processing;861.63;866.63;{'job': 108};{'job': 109};;{'job': 108};{'machine_id': 1};{'machine_id': 1};;
processing;879.96;882.03;;;{'job': 104};;;;{'machine_id': 2};{'machine_id': 2}
pre_processing;879.96;884.96;{'job': 109};{'job': 110};;{'job': 109};{'machine_id': 1};{'machine_id': 1};;
processing;882.03;884.48;;;{'job': 105};;;;{'machine_id': 2};{'machine_id': 2}
processing;884.48;904.81;;;{'job': 106};;;;{'machine_id': 2};{'machine_id': 2}
pre_processing;884.96;889.96;{'job': 110};{'job': 111};;{'job': 110};{'machine_id': 1};{'machine_id': 1};;
pre_processing;889.96;894.96;{'job': 111};{'job': 112};;{'job': 111};{'machine_id': 1};{'machine_id': 1};;
processing;904.81;907.26;;;{'job': 107};;;;{'machine_id': 2};{'machine_id': 2}
pre_processing;904.81;909.81;{'job': 112};{'job': 113};;{'job': 112};{'machine_id': 1};{'machine_id': 1};;
processing;907.26;910.09;;;{'job': 108};;;;{'machine_id': 2};{'machine_id': 2}
pre_processing;909.81;914.81;{'job': 113};{'job': 114};;{'job': 113};{'machine_id': 1};{'machine_id': 1};;
processing;910.09;918.65;;;{'job': 109};;;;{'machine_id': 2};{'machine_id': 2}
pre_processing;914.81;919.81;{'job': 114};{'job': 115};;{'job': 114};{'machine_id': 1};{'machine_id': 1};;
processing;918.65;942.94;;;{'job': 110};;;;{'machine_id': 2};{'machine_id': 2}
pre_processing;919.81;924.81;{'job': 115};{'job': 116};;{'job': 115};{'machine_id': 1};{'machine_id': 1};;
processing;942.94;951.11;;;{'job': 111};;;;{'machine_id': 2};{'machine_id': 2}
pre_processing;942.94;947.94;{'job': 116};{'job': 117};;{'job': 116};{'machine_id': 1};{'machine_id': 1};;
processing;951.11;955.89;;;{'job': 112};;;;{'machine_id': 2};{'machine_id': 2}
pre_processing;951.11;956.11;{'job': 117};{'job': 118};;{'job': 117};{'machine_id': 1};{'machine_id': 1};;
processing;955.89;960.36;;;{'job': 113};;;;{'machine_id': 2};{'machine_id': 2}
pre_processing;956.11;961.11;{'job': 118};{'job': 119};;{'job': 118};{'machine_id': 1};{'machine_id': 1};;
processing;960.36;961.7;;;{'job': 114};;;;{'machine_id': 2};{'machine_id': 2}
pre_processing;961.11;966.11;{'job': 119};{'job': 120};;{'job': 119};{'machine_id': 1};{'machine_id': 1};;
processing;961.7;972.06;;;{'job': 115};;;;{'machine_id': 2};{'machine_id': 2}
pre_processing;966.11;971.11;{'job': 120};{'job': 121};;{'job': 120};{'machine_id': 1};{'machine_id': 1};;
processing;972.06;975.46;;;{'job': 116};;;;{'machine_id': 2};{'machine_id': 2}
pre_processing;972.06;977.06;{'job': 121};{'job': 122};;{'job': 121};{'machine_id': 1};{'machine_id': 1};;
processing;975.46;981.54;;;{'job': 117};;;;{'machine_id': 2};{'machine_id': 2}
pre_processing;977.06;982.06;{'job': 122};{'job': 123};;{'job': 122};{'machine_id': 1};{'machine_id': 1};;
processing;981.54;994.49;;;{'job': 118};;;;{'machine_id': 2};{'machine_id': 2}
pre_processing;982.06;987.06;{'job': 123};{'job': 124};;{'job': 123};{'machine_id': 1};{'machine_id': 1};;
processing;994.49;1002.83;;;{'job': 119};;;;{'machine_id': 2};{'machine_id': 2}
pre_processing;994.49;999.49;{'job': 124};{'job': 125};;{'job': 124};{'machine_id': 1};{'machine_id': 1};;
processing;1002.83;1012.43;;;{'job': 120};;;;{'machine_id': 2};{'machine_id': 2}
pre_processing;1002.83;1007.83;{'job': 125};{'job': 126};;{'job': 125};{'machine_id': 1};{'machine_id': 1};;
processing;1012.43;1026.11;;;{'job': 121};;;;{'machine_id': 2};{'machine_id': 2}
pre_processing;1012.43;1017.43;{'job': 126};{'job': 127};;{'job': 126};{'machine_id': 1};{'machine_id': 1};;
processing;1026.11;1036.42;;;{'job': 122};;;;{'machine_id': 2};{'machine_id': 2}
pre_processing;1026.11;1031.11;{'job': 127};{'job': 128};;{'job': 127};{'machine_id': 1};{'machine_id': 1};;
processing;1036.42;1036.55;;;{'job': 123};;;;{'machine_id': 2};{'machine_id': 2}
pre_processing;1036.42;1041.42;{'job': 128};{'job': 129};;{'job': 128};{'machine_id': 1};{'machine_id': 1};;
processing;1036.55;1041.65;;;{'job': 124};;;;{'machine_id': 2};{'machine_id': 2}
pre_processing;1041.42;1046.42;{'job': 129};{'job': 130};;{'job': 129};{'machine_id': 1};{'machine_id': 1};;
processing;1041.65;1049.11;;;{'job': 125};;;;{'machine_id': 2};{'machine_id': 2}
pre_processing;1046.42;1051.42;{'job': 130};{'job': 131};;{'job': 130};{'machine_id': 1};{'machine_id': 1};;
processing;1049.11;1060.28;;;{'job': 126};;;;{'machine_id': 2};{'machine_id': 2}
pre_processing;1051.42;1056.42;{'job': 131};{'job': 132};;{'job': 131};{'machine_id': 1};{'machine_id': 1};;
processing;1060.28;1076.66;;;{'job': 127};;;;{'machine_id': 2};{'machine_id': 2}
pre_processing;1060.28;1065.28;{'job': 132};{'job': 133};;{'job': 132};{'machine_id': 1};{'machine_id': 1};;
processing;1076.66;1095.81;;;{'job': 128};;;;{'machine_id': 2};{'machine_id': 2}
pre_processing;1076.66;1081.66;{'job': 133};{'job': 134};;{'job': 133};{'machine_id': 1};{'machine_id': 1};;
processing;1095.81;1108.8;;;{'job': 129};;;;{'machine_id': 2};{'machine_id': 2}
pre_processing;1095.81;1100.81;{'job': 134};{'job': 135};;{'job': 134};{'machine_id': 1};{'machine_id': 1};;
processing;1108.8;1118.0;;;{'job': 130};;;;{'machine_id': 2};{'machine_id': 2}
pre_processing;1108.8;1113.8;{'job': 135};{'job': 136};;{'job': 135};{'machine_id': 1};{'machine_id': 1};;
processing;1118.0;1124.21;;;{'job': 131};;;;{'machine_id': 2};{'machine_id': 2}
